date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2017/1/1 0:00,43.6,6.8,275.6,-0.77,832,42
2017/1/1 0:15,46.4,6.2,282.3,-0.75,831.6,42
2017/1/1 0:30,48.4,5.7,278.3,-1,831,43
2017/1/1 0:45,48.4,6.3,278.7,-0.98,831,43
2017/1/1 1:00,52.9,6.4,278.4,-0.98,831,44
2017/1/1 1:15,56.3,6.3,285.5,-1.04,831,44
2017/1/1 1:30,58.4,7.1,275.9,-1.18,831,44
2017/1/1 1:45,53.6,7,278.9,-1.22,831,46
2017/1/1 2:00,49.6,6.9,273.6,-1.24,830.7,46
2017/1/1 2:15,51.2,6.8,271.5,-1.23,830.3,47
2017/1/1 2:30,49,6.8,266.1,-1.51,831,48
2017/1/1 2:45,49,6.6,254.1,-1.53,831,48
2017/1/1 3:00,45.7,6.5,248,-1.54,831,48
2017/1/1 3:15,39.4,6.5,260.8,-1.56,831,48
2017/1/1 3:30,29.9,6.6,274.8,-1.65,831,49
2017/1/1 3:45,27.5,6.5,273.1,-1.8,831,50
2017/1/1 4:00,29,6.5,254.9,-2.18,831,52
2017/1/1 4:15,25.8,6.4,269.6,-2.34,831,52
2017/1/1 4:30,21.8,6.4,290.9,-2.33,830,53
2017/1/1 4:45,16,6.6,283.9,-2.35,830,54
2017/1/1 5:00,11.8,6.5,284.6,-2.11,830,54
2017/1/1 5:15,9.8,6.5,286.5,-1.93,830,54
2017/1/1 5:30,10.2,6.7,284.7,-1.56,830,54
2017/1/1 5:45,10.7,6.2,284.5,-1.36,830,54
2017/1/1 6:00,7.4,6,310.2,-1.01,830,55
2017/1/1 6:15,5.3,5.9,297,-0.83,830,55
2017/1/1 6:30,3.4,5.7,284.1,-0.36,830,55
2017/1/1 6:45,2,5.7,288.3,-0.31,831,56
2017/1/1 7:00,1.5,5.7,300,0.1,831,56
2017/1/1 7:15,0.6,5.7,293.3,0.38,831,56
2017/1/1 7:30,0.1,5.9,301.9,0.94,831,54
2017/1/1 7:45,0.1,5.7,302.1,0.88,831,53
2017/1/1 8:00,0,5.7,317.4,0.76,831,53
2017/1/1 8:15,0,5.7,339.1,0.55,831,54
2017/1/1 8:30,0,5.9,332.8,0.74,831,53
2017/1/1 8:45,0,5.7,339.8,0.81,831,53
2017/1/1 9:00,0.2,5.8,340.8,0.81,831,53
2017/1/1 9:15,3.5,5.6,344.1,0.36,831.6,54
2017/1/1 9:30,14.6,5.8,342.1,-0.57,832,54
2017/1/1 9:45,22.3,5.9,339.7,-2.4,832,55
2017/1/1 10:00,31.4,5.8,341.5,-3.94,832.3,55
