时间,,测风塔70m风速,测风塔70m风向,温度,气压,湿度,实际发电功率
2017-1-1 0:00:00,1,6.80 ,275.6 ,-0.77,832.0 ,42 ,43.6 
2017-1-1 0:15:00,2,6.20 ,282.3 ,-0.75,831.6 ,42 ,46.4 
2017-1-1 0:30:00,3,5.70 ,278.3 ,-1.00,831.0 ,43 ,48.4 
2017-1-1 0:45:00,4,6.30 ,278.7 ,-0.98,831.0 ,43 ,48.4 
2017-1-1 1:00:00,5,6.40 ,278.4 ,-0.98,831.0 ,44 ,52.9 
2017-1-1 1:15:00,6,6.30 ,285.5 ,-1.04,831.0 ,44 ,56.3 
2017-1-1 1:30:00,7,7.10 ,275.9 ,-1.18,831.0 ,44 ,58.4 
2017-1-1 1:45:00,8,7.00 ,278.9 ,-1.22,831.0 ,46 ,53.6 
2017-1-1 2:00:00,9,6.90 ,273.6 ,-1.24,830.7 ,46 ,49.6 
2017-1-1 2:15:00,10,6.80 ,271.5 ,-1.23,830.3 ,47 ,51.2 
2017-1-1 2:30:00,11,6.80 ,266.1 ,-1.51,831.0 ,48 ,49.0 
2017-1-1 2:45:00,12,6.60 ,254.1 ,-1.53,831.0 ,48 ,49.0 
2017-1-1 3:00:00,13,6.50 ,248.0 ,-1.54,831.0 ,48 ,45.7 
2017-1-1 3:15:00,14,6.50 ,260.8 ,-1.56,831.0 ,48 ,39.4 
2017-1-1 3:30:00,15,6.60 ,274.8 ,-1.65,831.0 ,49 ,29.9 
2017-1-1 3:45:00,16,6.50 ,273.1 ,-1.80,831.0 ,50 ,27.5 
2017-1-1 4:00:00,17,6.50 ,254.9 ,-2.18,831.0 ,52 ,29.0 
2017-1-1 4:15:00,18,6.40 ,269.6 ,-2.34,831.0 ,52 ,25.8 
2017-1-1 4:30:00,19,6.40 ,290.9 ,-2.33,830.0 ,53 ,21.8 
2017-1-1 4:45:00,20,6.60 ,283.9 ,-2.35,830.0 ,54 ,16.0 
2017-1-1 5:00:00,21,6.50 ,284.6 ,-2.11,830.0 ,54 ,11.8 
2017-1-1 5:15:00,22,6.50 ,286.5 ,-1.93,830.0 ,54 ,9.8 
2017-1-1 5:30:00,23,6.70 ,284.7 ,-1.56,830.0 ,54 ,10.2 
2017-1-1 5:45:00,24,6.20 ,284.5 ,-1.36,830.0 ,54 ,10.7 
2017-1-1 6:00:00,25,6.00 ,310.2 ,-1.01,830.0 ,55 ,7.4 
2017-1-1 6:15:00,26,5.90 ,297.0 ,-0.83,830.0 ,55 ,5.3 
2017-1-1 6:30:00,27,5.70 ,284.1 ,-0.36,830.0 ,55 ,3.4 
2017-1-1 6:45:00,28,5.70 ,288.3 ,-0.31,831.0 ,56 ,2.0 
2017-1-1 7:00:00,29,5.70 ,300.0 ,0.10,831.0 ,56 ,1.5 
2017-1-1 7:15:00,30,5.70 ,293.3 ,0.38,831.0 ,56 ,0.6 
2017-1-1 7:30:00,31,5.90 ,301.9 ,0.94,831.0 ,54 ,0.1 
2017-1-1 7:45:00,32,5.70 ,302.1 ,0.88,831.0 ,53 ,0.1 
2017-1-1 8:00:00,33,5.70 ,317.4 ,0.76,831.0 ,53 ,0.0 
2017-1-1 8:15:00,34,5.70 ,339.1 ,0.55,831.0 ,54 ,0.0 
2017-1-1 8:30:00,35,5.90 ,332.8 ,0.74,831.0 ,53 ,0.0 
2017-1-1 8:45:00,36,5.70 ,339.8 ,0.81,831.0 ,53 ,0.0 
2017-1-1 9:00:00,37,5.80 ,340.8 ,0.81,831.0 ,53 ,0.2 
2017-1-1 9:15:00,38,5.60 ,344.1 ,0.36,831.6 ,54 ,3.5 
2017-1-1 9:30:00,39,5.80 ,342.1 ,-0.57,832.0 ,54 ,14.6 
2017-1-1 9:45:00,40,5.90 ,339.7 ,-2.40,832.0 ,55 ,22.3 
2017-1-1 10:00:00,41,5.80 ,341.5 ,-3.94,832.3 ,55 ,31.4 
2017-1-1 10:15:00,42,5.70 ,337.9 ,-4.00,832.9 ,53 ,34.4 
2017-1-1 10:30:00,43,5.90 ,346.4 ,-4.04,832.9 ,54 ,36.5 
2017-1-1 10:45:00,44,5.90 ,346.3 ,-3.85,832.9 ,53 ,35.9 
2017-1-1 11:00:00,45,5.70 ,348.4 ,-3.71,832.9 ,53 ,44.9 
2017-1-1 11:15:00,46,5.60 ,346.2 ,-3.44,832.9 ,53 ,48.5 
2017-1-1 11:30:00,47,5.30 ,342.5 ,-3.16,832.9 ,52 ,57.1 
2017-1-1 11:45:00,48,5.30 ,352.2 ,-2.80,832.9 ,51 ,61.6 
2017-1-1 12:00:00,49,5.00 ,348.7 ,-2.66,832.9 ,51 ,61.1 
2017-1-1 12:15:00,50,5.20 ,347.3 ,-2.37,832.9 ,50 ,60.4 
2017-1-1 12:30:00,51,5.20 ,317.7 ,-1.86,832.9 ,48 ,54.5 
2017-1-1 12:45:00,52,5.20 ,326.2 ,-1.57,832.0 ,48 ,53.3 
2017-1-1 13:00:00,53,5.40 ,329.1 ,-1.65,832.2 ,49 ,51.3 
2017-1-1 13:15:00,54,5.40 ,328.2 ,-1.55,832.0 ,49 ,41.7 
2017-1-1 13:30:00,55,4.60 ,337.5 ,-1.20,832.0 ,47 ,34.9 
2017-1-1 13:45:00,56,4.60 ,337.4 ,-1.28,832.0 ,48 ,30.1 
2017-1-1 14:00:00,57,4.70 ,317.1 ,-0.72,832.0 ,46 ,26.6 
2017-1-1 14:15:00,58,4.40 ,314.2 ,-0.62,832.0 ,46 ,23.1 
2017-1-1 14:30:00,59,4.10 ,337.0 ,-0.89,832.0 ,46 ,20.7 
2017-1-1 14:45:00,60,4.10 ,313.9 ,-1.18,832.0 ,47 ,17.6 
2017-1-1 15:00:00,61,4.10 ,311.5 ,-1.15,832.0 ,47 ,18.2 
2017-1-1 15:15:00,62,4.10 ,324.0 ,-1.41,832.0 ,49 ,18.2 
2017-1-1 15:30:00,63,3.50 ,309.8 ,-1.44,832.0 ,49 ,15.0 
2017-1-1 15:45:00,64,3.40 ,314.9 ,-1.14,832.0 ,48 ,12.3 
2017-1-1 16:00:00,65,3.10 ,309.3 ,-0.90,832.0 ,47 ,11.6 
2017-1-1 16:15:00,66,2.70 ,304.5 ,-0.77,832.0 ,46 ,11.2 
2017-1-1 16:30:00,67,2.30 ,285.3 ,-0.61,832.9 ,46 ,10.7 
2017-1-1 16:45:00,68,2.20 ,291.8 ,-0.23,832.6 ,45 ,10.1 
2017-1-1 17:00:00,69,2.10 ,311.1 ,-0.68,832.6 ,47 ,7.0 
2017-1-1 17:15:00,70,2.10 ,303.8 ,-1.24,832.9 ,49 ,4.9 
2017-1-1 17:30:00,71,2.00 ,322.2 ,-1.68,832.9 ,50 ,3.7 
2017-1-1 17:45:00,72,1.70 ,307.2 ,-1.87,832.9 ,51 ,2.7 
2017-1-1 18:00:00,73,1.60 ,293.1 ,-2.02,832.9 ,52 ,2.2 
2017-1-1 18:15:00,74,1.90 ,288.6 ,-2.04,832.9 ,52 ,2.2 
2017-1-1 18:30:00,75,1.40 ,300.6 ,-2.23,832.9 ,53 ,2.9 
2017-1-1 18:45:00,76,1.70 ,299.4 ,-2.60,832.9 ,55 ,2.9 
2017-1-1 19:00:00,77,1.20 ,301.7 ,-2.53,832.9 ,56 ,1.1 
2017-1-1 19:15:00,78,1.30 ,285.7 ,-2.31,832.9 ,55 ,0.0 
2017-1-1 19:30:00,79,1.30 ,289.6 ,-2.14,832.9 ,54 ,0.0 
2017-1-1 19:45:00,80,1.10 ,300.8 ,-1.98,833.7 ,53 ,0.0 
2017-1-1 20:00:00,81,2.10 ,286.1 ,-1.56,834.0 ,50 ,0.0 
2017-1-1 20:15:00,82,2.20 ,277.3 ,-1.34,834.0 ,48 ,0.0 
2017-1-1 20:30:00,83,1.60 ,295.0 ,-0.96,834.0 ,45 ,0.0 
2017-1-1 20:45:00,84,1.90 ,296.6 ,-1.11,834.0 ,45 ,0.0 
2017-1-1 21:00:00,85,1.70 ,292.7 ,-1.22,832.9 ,45 ,0.0 
2017-1-1 21:15:00,86,2.00 ,286.4 ,-1.43,832.9 ,46 ,0.0 
2017-1-1 21:30:00,87,1.50 ,281.4 ,-1.69,832.9 ,47 ,0.0 
2017-1-1 21:45:00,88,1.60 ,293.6 ,-1.78,833.3 ,47 ,0.0 
2017-1-1 22:00:00,89,0.60 ,289.9 ,-1.86,833.4 ,47 ,0.0 
2017-1-1 22:15:00,90,0.60 ,284.8 ,-1.66,834.0 ,46 ,0.0 
2017-1-1 22:30:00,91,1.40 ,262.7 ,-1.88,834.0 ,48 ,0.1 
2017-1-1 22:45:00,92,0.80 ,271.7 ,-2.13,834.0 ,49 ,0.0 
2017-1-1 23:00:00,93,1.00 ,280.4 ,-2.08,834.0 ,49 ,2.8 
2017-1-1 23:15:00,94,1.10 ,274.9 ,-2.25,834.0 ,50 ,8.3 
2017-1-1 23:30:00,95,2.60 ,267.4 ,-2.62,833.7 ,51 ,6.9 
2017-1-1 23:45:00,96,3.30 ,270.6 ,-2.90,834.0 ,52 ,11.8 
2017-1-2 0:00:00,97,3.10 ,266.1 ,-3.48,832.9 ,54 ,20.5 
2017-1-2 0:15:00,98,3.90 ,275.8 ,-3.04,832.9 ,53 ,19.8 
2017-1-2 0:30:00,99,3.70 ,294.2 ,-2.97,832.9 ,52 ,17.6 
2017-1-2 0:45:00,100,3.50 ,301.9 ,-2.79,832.9 ,51 ,18.7 
2017-1-2 1:00:00,101,3.60 ,279.5 ,-2.62,832.9 ,50 ,14.1 
2017-1-2 1:15:00,102,4.60 ,278.5 ,-2.61,832.9 ,50 ,14.3 
2017-1-2 1:30:00,103,3.80 ,292.8 ,-2.65,832.9 ,51 ,16.5 
2017-1-2 1:45:00,104,4.10 ,293.7 ,-2.89,832.9 ,51 ,16.2 
2017-1-2 2:00:00,105,4.50 ,290.1 ,-2.78,832.9 ,52 ,16.1 
2017-1-2 2:15:00,106,4.50 ,303.5 ,-2.78,832.9 ,53 ,15.8 
2017-1-2 2:30:00,107,4.70 ,283.8 ,-3.04,832.9 ,54 ,13.3 
2017-1-2 2:45:00,108,4.70 ,281.7 ,-3.45,832.9 ,55 ,12.8 
2017-1-2 3:00:00,109,4.90 ,293.5 ,-3.15,832.9 ,55 ,17.5 
2017-1-2 3:15:00,110,4.80 ,302.6 ,-3.02,832.9 ,54 ,26.2 
