date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2017/11/1 4:00,39.5,3.5,237.3,8.6,834.0,39.0
2017/11/1 4:15,49.2,3.4,282.3,9.01,834.0,40.0
2017/11/1 4:30,54.9,3.8,238.2,9.19,834.0,41.0
2017/11/1 4:45,50.4,4.4,241.9,9.28,834.0,41.0
2017/11/1 5:00,48.7,4.5,263.7,9.67,834.0,41.0
2017/11/1 5:15,50.4,3.6,293.3,10.08,834.0,40.0
2017/11/1 5:30,58.6,3.6,268.7,10.2,834.0,40.0
2017/11/1 5:45,61.3,3.7,290.8,10.37,834.0,40.0
2017/11/1 6:00,64.2,3.7,275.5,10.7,834.0,40.0
2017/11/1 6:15,67.4,3.3,295.2,10.74,834.0,40.0
2017/11/1 6:30,53.1,3.4,260.1,10.95,834.0,40.0
2017/11/1 6:45,60.1,3.1,260.2,11.24,834.0,39.0
2017/11/1 7:00,67.2,2.3,248.3,11.14,833.8,40.0
2017/11/1 7:15,68.2,2.4,247.3,11.11,833.5,39.0
2017/11/1 7:30,68.9,2.6,246.8,11.25,833.0,39.0
2017/11/1 7:45,68.9,2.8,248.3,11.63,833.0,39.0
2017/11/1 8:00,67.1,3.0,251.0,11.79,833.0,38.0
2017/11/1 8:15,62.0,3.2,250.2,11.66,833.0,39.0
2017/11/1 8:30,62.0,3.5,253.4,11.9,833.0,39.0
2017/11/1 8:45,62.2,4.0,259.1,11.73,833.0,39.0
2017/11/1 9:00,62.3,4.4,260.4,11.74,833.0,38.0
2017/11/1 9:15,62.1,4.6,227.2,12.07,833.0,38.0
2017/11/1 9:30,62.2,4.8,200.5,11.96,833.0,38.0
2017/11/1 9:45,64.0,4.5,217.9,12.02,833.0,37.0
2017/11/1 10:00,67.9,4.1,225.8,12.04,833.0,37.0
2017/11/1 10:15,74.8,4.0,240.5,12.32,833.0,37.0
2017/11/1 10:30,79.9,3.7,241.1,12.22,833.0,37.0
2017/11/1 10:45,80.2,4.0,241.1,12.01,833.0,37.0
2017/11/1 11:00,81.6,4.1,241.1,11.86,833.0,37.0
2017/11/1 11:15,81.0,3.7,246.4,11.55,833.0,38.0
2017/11/1 11:30,76.8,3.9,239.3,11.14,833.0,39.0
2017/11/1 11:45,72.5,4.0,242.9,10.75,833.1,41.0
2017/11/1 12:00,63.5,3.7,238.5,10.4,833.0,41.0
2017/11/1 12:15,62.3,3.8,248.2,10.01,833.0,43.0
2017/11/1 12:30,68.8,3.7,254.2,9.83,833.0,43.0
2017/11/1 12:45,69.0,3.6,261.8,9.8,833.3,43.0
2017/11/1 13:00,68.0,3.7,254.5,9.59,834.0,43.0
