Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012,9,1,0,0,0.46,68.918,5.835,286.329,101114.496,1.217
2012,9,1,0,5,0.414,69.918,5.633,286.28,101119.08,1.217
2012,9,1,0,10,0.363,70.764,5.413,286.219,101125.496,1.217
2012,9,1,0,15,0.314,71.835,5.2,286.152,101130.984,1.217
2012,9,1,0,20,0.297,72.511,5.127,286.078,101133.728,1.217
2012,9,1,0,25,0.317,73.319,5.212,286.017,101141.056,1.218
2012,9,1,0,30,0.352,73.616,5.365,285.975,101152.952,1.218
2012,9,1,0,35,0.368,72.479,5.432,285.938,101159.368,1.218
2012,9,1,0,40,0.363,69.463,5.413,285.917,101155.704,1.218
2012,9,1,0,45,0.358,66.249,5.389,285.92,101152.04,1.219
2012,9,1,0,50,0.361,64.167,5.404,285.932,101149.288,1.219
2012,9,1,0,55,0.356,63.178,5.383,285.959,101152.04,1.218
2012,9,1,1,0,0.352,62.805,5.365,285.947,101152.952,1.218
2012,9,1,1,5,0.36,63.354,5.401,285.941,101158.448,1.218
2012,9,1,1,10,0.371,64.7,5.447,285.929,101169.44,1.218
2012,9,1,1,15,0.377,65.639,5.471,285.908,101171.264,1.218
2012,9,1,1,20,0.384,66.287,5.505,285.886,101177.672,1.217
2012,9,1,1,25,0.385,66.716,5.508,285.862,101180.424,1.217
2012,9,1,1,30,0.376,66.656,5.471,285.834,101175.84,1.217
2012,9,1,1,35,0.376,67.133,5.471,285.801,101179.504,1.217
2012,9,1,1,40,0.374,67.468,5.459,285.761,101181.336,1.217
2012,9,1,1,45,0.364,68.144,5.42,285.709,101183.168,1.217
2012,9,1,1,50,0.344,69.243,5.331,285.651,101189.576,1.217
2012,9,1,1,55,0.321,70.583,5.23,285.581,101189.576,1.218
2012,9,1,2,0,0.303,72.275,5.151,285.499,101189.576,1.218
2012,9,1,2,5,0.283,74.137,5.066,285.416,101192.32,1.218
2012,9,1,2,10,0.267,75.499,4.992,285.337,101193.24,1.218
2012,9,1,2,15,0.26,76.559,4.95,285.27,101201.48,1.219
2012,9,1,2,20,0.252,76.905,4.901,285.212,101205.144,1.219
