date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012/1/1 0:00,0.037,139.827,3.256,278.031,102015.408,1.254
2012/1/1 0:05,0.04,142.81,3.289,278.07,102019.072,1.254
2012/1/1 0:10,0.049,144.975,3.378,278.095,102022.736,1.254
2012/1/1 0:15,0.054,145.431,3.433,278.125,102024.56,1.254
2012/1/1 0:20,0.056,144.772,3.457,278.159,102026.4,1.254
2012/1/1 0:25,0.059,142.614,3.488,278.183,102029.144,1.254
2012/1/1 0:30,0.078,140.218,3.677,278.202,102032.808,1.254
2012/1/1 0:35,0.113,142.168,4.016,278.235,102033.72,1.254
2012/1/1 0:40,0.156,142.783,4.275,278.253,102033.72,1.254
2012/1/1 0:45,0.188,142.706,4.467,278.244,102030.056,1.254
2012/1/1 0:50,0.224,143.529,4.687,278.238,102029.144,1.253
2012/1/1 0:55,0.264,142.365,4.928,278.247,102030.976,1.253
2012/1/1 1:00,0.341,139.152,5.267,278.272,102032.808,1.253
2012/1/1 1:05,0.427,135.208,5.639,278.308,102031.888,1.252
2012/1/1 1:10,0.529,131.395,6.045,278.351,102033.72,1.252
2012/1/1 1:15,0.642,128.439,6.414,278.385,102028.224,1.252
2012/1/1 1:20,0.704,127.247,6.619,278.424,102024.56,1.251
2012/1/1 1:25,0.673,127.411,6.518,278.534,102030.968,1.251
2012/1/1 1:30,0.584,127.999,6.228,278.574,102029.144,1.251
2012/1/1 1:35,0.49,129.235,5.911,278.476,102031.888,1.251
2012/1/1 1:40,0.441,129.691,5.697,278.476,102037.384,1.251
2012/1/1 1:45,0.42,129.186,5.609,278.665,102047.456,1.252
2012/1/1 1:50,0.323,131.723,5.194,278.485,102051.12,1.251
2012/1/1 1:55,0.181,137.824,4.428,278.537,102046.536,1.25
2012/1/1 2:00,0.051,144.229,3.405,278.543,102039.208,1.251
2012/1/1 2:05,0.005,150.694,2.45,278.43,102041.96,1.252
2012/1/1 2:10,0.0,153.033,1.666,278.266,102048.368,1.254
